Playlist Name,Track Name,Artist,Album,Release Date
Unknown,Swang,Rae Sremmurd,SremmLife 2 (Deluxe),2016-08-12
Unknown,No Type,Rae Sremmurd,SremmLife,2015-01-06
Unknown,Swag Surfin',F.L.Y. (Fast Life Yungstaz),Jamboree,2009-01-01
Unknown,Whip It,BigXthaPlug,AMAR (Deluxe),2023-04-28
Unknown,Big Dawgs,Hanumankind,Big Dawgs,2024-07-09
Unknown,In My Mind,Dynoro,In My Mind,2018-06-08
Unknown,Mo Bamba,Sheck Wes,MUDBOY,2018-10-05
Unknown,Walk It Talk It,Migos,Culture II,2018-01-26
Unknown,Plug Walk,Rich The Kid,The World Is Yours,2018-03-30
Unknown,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,So Much Fun (Deluxe),2019-12-20
Unknown,family ties (with Kendrick Lamar),Baby Keem,The Melodic Blue,2021-09-10
Unknown,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,TESTING,2018-05-25
Unknown,Back On My BS,BigXthaPlug,THE BIGGEST,2023-12-01
Unknown,Ric Flair Drip (with Metro Boomin),Offset,Without Warning,2017-10-30
Unknown,Ambition For Cash,Key Glock,Yellow Tape 2,2021-11-05
Unknown,CARNIVAL,¥$,VULTURES 1,2024-02-09
Unknown,redrum,21 Savage,american dream,2024-01-12
Unknown,FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,2023-07-28
Unknown,fukumean,Gunna,a Gift & a Curse,2023-06-16
Unknown,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,HEROES & VILLAINS,2022-12-02
Unknown,Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04
Unknown,Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,2022-10-17
Unknown,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,2023-10-06
Unknown,Rich Flex,Drake,Her Loss,2022-11-04
Unknown,Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,Rodeo,2015-09-04
Unknown,Invincible,Pop Smoke,Meet The Woo 2,2020-02-07
Unknown,Headlines,Drake,Take Care (Deluxe),2011-11-15
Unknown,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,The Bigger Artist,2017-09-29
Unknown,Father Stretch My Hands Pt. 1,Kanye West,The Life Of Pablo,2016-06-10
Unknown,Don't Like.1,Kanye West,Kanye West Presents Good Music Cruel Summer,2012-01-01
Unknown,After Party,Don Toliver,Heaven Or Hell,2020-03-13
Unknown,Type Shit,Future,WE DON'T TRUST YOU,2024-03-22
Unknown,Faneto,Chief Keef,Faneto,2015
Unknown,Throw Sum Mo,Rae Sremmurd,SremmLife,2015-01-06
Unknown,Suge,DaBaby,Baby On Baby,2019-03-01
Unknown,Dream On,Aerosmith,Aerosmith,1973-01-05
Unknown,Bleed It Out,Linkin Park,Minutes to Midnight (Deluxe Edition),2007-05-14
Unknown,No Church In The Wild - Album Version (Edited),JAY-Z,Watch The Throne (Deluxe),2011-08-08
Unknown,All That I Know,Winnipeg's Most,Winnipeg's Most,2018-08-23
Unknown,Hells Bells,AC/DC,Back In Black,1980-07-25
Unknown,Icon,Jaden,SYRE,2017-11-17
Unknown,Burn It to the Ground,Nickelback,"The Best of Nickelback, Vol. 1",2013-11-01
Unknown,Take Me To The Top,Mötley Crüe,Too Fast For Love (Deluxe Version),1981-11-10
Unknown,Dreams and Nightmares,Meek Mill,Dreams and Nightmares,2012-10-29
Unknown,All My Life (feat. J. Cole),Lil Durk,All My Life (feat. J. Cole),2023-05-12
Unknown,pick up the phone,Young Thug,Birds In The Trap Sing McKnight,2016-09-15
Unknown,Thunderstruck,AC/DC,The Razors Edge,1990-09-24
Unknown,Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),1999-06-08
Unknown,The Boys Are Back,Dropkick Murphys,SIGNED and SEALED in BLOOD,2013-01-08
Unknown,Business,Eminem,The Eminem Show (Edited Version),2002-05-26
Unknown,Revenge,Joyner Lucas,Revenge,2020-02-03
Unknown,I'm Shipping Up To Boston,Dropkick Murphys,The Warrior's Code,2005-07-19
Unknown,Many Men (Wish Death) - Album Version (Edited),50 Cent,Get Rich Or Die Tryin,2003-02-06
Unknown,Eye of the Tiger,Survivor,Eye Of The Tiger,1982
Unknown,'Till I Collapse,Eminem,The Eminem Show (Edited Version),2002-05-26
Unknown,Harder To Breathe,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002
